Как называется столица Франции?|Париж
Из какой страны пришла к нам на телевидение первая "мыльная опера" "Рабыня Изаура"?|Бразилия
Из листьев какого растения получают грубое волокно сизаль, идущее на изготовление канатов, сетей и щеток?|Агава
Из-за поражения какой железы развивается базедова болезнь: щитовидной или поджелудочной?|Щитовидной
К какой королевской династии в Англии принадлежал Генрих VIII?|Тюдоры
К какому отряду насекомых относятся пчелы, осы и муравьи?|Перепончатокрылые
Как буквально переводится название столицы Китая - Пекин?|Северная столица
Как в государственном праве называется официальное обнародование закона, принятого парламентом?|Промульгация
Как в греческой мифологии звали богиню победы?|Ника
Как в древнегреческой мифологии, звали бога, обитавшего в роскошном дворце на дне моря?|Посейдон
Как в Древней Греции называлось лицо, насильственно захватившее власть?|Тиран
Как в живописи называется вид спереди?|Анфас
Как в игральных картах называется красная масть с изображением ромбов?|Бубны
Как в математике называется часть круга, ограниченная двумя радиусами и дугой между ними: сегмент или сектор?|Сектор
Как в народе называют дешевое плодово-ягодное вино?|Бормотуха
Как в народе прозвали металлические мини-гаражи для одного автомобиля?|Ракушка
Как в сказке "Аленький цветочек" звали главную героиню?|Настя
Как в старину в России называлась большая наезженная дорога?|Тракт
Как в старину называлось русское женское парадное платье с длинными широкими разрезными рукавами?|Летник
Как до 1920 г. назывался город, который сейчас носит название Краснодар?|Екатеринодар
Как древние греки называли Черное море?|Понт Эвксинский
Как звали героя фильма "Добро пожаловать, или Посторонним...", которого выгнали из лагеря за плохое поведение?|Костя Иночкин
Как звали кошку "домомучительницы" Малыша из сказки "Карлсон"?|Матильда
Как звучит самое распространенное телефонное приветствие?|Алло
Как зовется коренной житель какой-либо местности?|Абориген
Как зовется работник телевидения или радио, сообщающий новости?|Диктор
Как зовут гонщика "Формулы-1", родного брата Михаэля Шумахера?|Ральф
Как зовут самого крупного из Телепузиков?|Тинки-Винки
Как именуется знаток и коллекционер произведений старинного искусства?|Антиквар
Как москвичи прозвали один из самых старых трамвайных маршрутов "А"?|Аннушка
Как на Руси называлась постройка с печью для сушки снопового хлеба и льна: амбар или рига?|Рига
Как на солдатском сленге называется место, куда сажают провинившегося военнослужащего?|Губа
Как называется "одежда" для подушки?|Наволочка
Как называется американская монета, равная десяти центам?|Дайм
Как называется аппарат для искусственного выведения молодняка птицы из яиц?|Инкубатор
Как называется бытовой прибор для сохранения продуктов питания при низкой температуре?|Холодильник
Как называется вид художественного творчества, главным объектом которого служит тело?|Боди-арт
Как называется вода, в молекуле которой водород заменен на дейтерий: тяжелая вода или мягкая вода?|Тяжелая вода
Как называется временное помещение для цирковых представлений из легких мачт и натягиваемого на них материала?|Шапито
Как называется граница между освещенной и неосвещенной поверхностью планет или их спутников?|Терминатор
Как называется добровольная доплата официантам за хорошее обслуживание?|Чаевые
Как называется жидкое содержимое вулканического кратера?|Лава
Как называется зажигательный латиноамериканский танец: Баланда или Ламбада?|Ламбада
Как называется залог земли или строений с целью получения долгосрочной ссуды?|Ипотека
Как называется знак отличия на форменной фуражке?|Кокарда
Как называется изображение из маленьких цветных камешков или плиток?|Мозаика
Как называется итальянский автомобильный концерн, являющийся прародителем "Жигулей"?|Фиат
Как называется корабль, основной задачей которого являются поиск, обнаружение и уничтожение морских мин?|Тральщик
Как называется корабль, пришвартованный в Петербурге перед зданием Нахимовского училища?|Аврора
Как называется кресло, предназначенное для короля?|Трон
Как называется линия соприкосновения спокойной поверхности воды с корпусом плавающего судна?|Ватерлиния
Как называется музей-усадьба И. Е. Репина близ Санкт-Петербурга: Тарханы или Пенаты?|Пенаты
Как называется музыкальное приспособление, с помощью которого извлекаются звуки из скрипки?|Смычок
Как называется мусульманское богослужебное сооружение?|Мечеть
Как называется наука, изучающая происхождение слов, выявляющая их первоначальное значение?|Этимология
Как называется непреодолимое болезненное стремление к воровству?|Клептомания
Как называется неявка на работу по неуважительной причине?|Прогул
Как называется отвар, приготовленный из мяса?|Бульон
Как называется ответвление русла реки: ворот или рукав?|Рукав
Как называется пометка на полях книги или рукописи, обращающая особое внимание на данное место в тексте?|Нота Бене
Как называется помещение, где печатаются газеты и журналы?|Типография
Как называется популярный сорт колбасы: докторская или медицинская?|Докторская
Как называется поселок на реке Сестра, где в 1917 г. Ленин скрывался от Временного правительства?|Разлив
Как называется приспособление для подъема воды из колодца: аист или журавль?|Журавль
Как называется промежуток времени в десять дней?|Декада
Как называется промежуток времени, приблизительно равный периоду обращения Земли вокруг Солнца?|Год
Как называется рабочее место театрального суфлера?|Будка
Как называется раздел курортологии, изучающий минеральные воды и их применение: гидрология или бальнеология?|Бальнеология
Как называется расположение актеров на сцене в тот или иной момент спектакля?|Мизансцена
Как называется сельскохозяйственное предприятие, на котором выращивают животных?|Ферма
Как называется скоростной спуск по ледяному желобу на санях, в котором преуспел Александр Зубков?|Бобслей
Как называется сооружение, через которое качают нефть?|Скважина
Как называется специальный широкий пояс, надеваемый для удержания тела на воде?|Спасательный круг
Как называется тип кузова легкового автомобиля с откидывающимся мягким тентом?|Кабриолет
Как называется тонкий слой древесины, используемый столярами-краснодеревщиками?|Шпон
Как называется транспортное средство, способное передвигаться и по суше, и по воде?|Амфибия
Как называется украшение для ключей?|Брелок
Как называется цирковой турник: трапеция или ромб?|Трапеция
Как называется часть текста песни, повторяющаяся после каждого куплета?|Припев
Как называется чертеж земной поверхности?|Карта
Как называется широкий мягкий диван, не имеющий спинки и подлокотников?|Тахта
Как называется широкополая шляпа жителей Латинской Америки: сомбреро или панама?|Сомбреро
Как называется школьное учебное пособие - сборник избранных произведений или отрывков из них?|Хрестоматия
Как называется щетка для чистки бутылок?|Ерш
Как называлась канонерская лодка, погибшая вместе с крейсером "Варяг": "Кореец" или "Японец"?|Кореец
Как называли свободное население Древней Греции, обладавшее гражданскими правами?|Демос
Как называлось оружие, которым Иван-царевич сокрушил Змея Горыныча?|Меч-кладенец
Как назывался весенний языческий праздник у восточных славян, связанный с поминовением предков?|Радоница
Как назывался легендарный пулемет времен гражданской войны?|Максим
Как назывался российский атомный ледокол, первым достигший Северного полюса?|Арктика
Как называют движущееся светлое пятно от отраженного солнечного луча?|Зайчик
Как называют длинный искусственный "коридор" в горе?|Тоннель
Как называют еще не распустившийся цветок?|Бутон
Как называют и светильник, который крепится к стене, и один из предметов женского белья?|Бра
Как называют процесс покрытия полиграфической продукции тонкой пленкой для защиты от внешних воздействий?|Ламинирование
Как называют самую длинную клавишу на клавиатуре компьютера?|Пробел
Как называют старого опытного моряка: морской волк или морской змей?|Морской волк
Как называются автомобильные состязания на скорость и проходимость?|Ралли
Как пишется правильно: "прЕверженец" или "прИверженец"?|ПрИверженец
Как по-французски звучит выражение "Такова жизнь"?|Се ля ви
Как принято называть период, когда в городах происходит наиболее интенсивное передвижение людей с места на место?|Час пик
Как с португальского переводится название города Рио-де-Жанейро: январная река или рождественская гора?|Январная река
Как сейчас называют кустарник, который в старину называли берсень?|Крыжовник
Какая аквариумная рыбка существует: перископ или телескоп?|Телескоп
Какая буква русского алфавита 29-я по счету?|Ы
Какая денежная единица равна 100 баням?|Лей
Какая из арабских стран не входит в регион, называемый Магрибом: Египет или Тунис?|Египет
Какая из сказок Пушкина начинается словами "У Лукоморья дуб зеленый..."?|Руслан и Людмила
Какая из этих стран не имеет морского побережья: Хорватия или Северная Македония?|Северная Македония
Какая инновация американца Джорджа Пульмана появилась в российских поездах дальнего следования в 1896 году?|Вагон-ресторан
Какая колдунья обратила спутников Одиссея, прибывших на ее остров, в свиней?|Цирцея
Какая наука занимается изучением пещер?|Спелеология
Какая нота является пятой ступенью нотного ряда?|Соль
Какая партия победила на выборах в Государственную думу Российской империи I созыва: кадеты или эсеры?|Кадеты
Какая профессия была у первого хозяина Каштанки: плотник или столяр?|Столяр
Какая птица каждый день навещала прикованного к скале Прометея?|Орел
Какая разменная монета дала прозвище первой модели автомобиля "Жигули"?|Копейка
Какая река длиннее - Янцзы или Енисей?|Янцзы
Какая река самая полноводная в мире?|Амазонка
Какая страна является родиной ангорских кошек: Турция или Египет?|Турция
Какая фамилия была от рождения у отца Адольфа Гитлера?|Шикльгрубер
Какая фамилия была у следователя из фильма "Берегись автомобиля"?|Подберезовиков
Какая часть военной формы в годы Гражданской войны носила имя Семена Буденного?|Шапка
Какая часть речи в русском языке отвечает на вопрос "как"?|Наречие
Какая чернокожая американская актриса издала книгу, в которой она высмеивает ханжество современного общества?|Вупи Голдберг
Какие две буквы находятся в самой верхней строчке таблицы для проверки зрения?|ШБ
Какие сумчатые млекопитающие есть в Австралии и на Новой Гвинее: кускусы или чикичики?|Кускусы
Какие транспортные средства участвуют в ежегодных соревнованиях "Тур-де-Франс"?|Велосипеды
Каким аршином, согласно стихотворению Федора Тютчева, Россию не измерить?|Общим
Каким видом борьбы занимался Президент России Владимир Путин?|Дзюдо
Каким общим словом называют совокупность всех лепестков цветка?|Венчик
Каким французским словом называют поездку артистов на гастроли?|Турне
Какими войсками командует контр-адмирал: воздушными или морскими?|Морскими
Какиой вид борьбы не является олимпийским видом спорта: карате или тхэквондо?|Карате
Каких животных использовал в военных целях Ганнибал?|Слонов
Какого животного не существует в природе: морского льва или морского тигра?|Морского тигра
Какого созвездия не существует: Южная Гидра или Южный Кит?|Южный Кит
Какого французского короля сыграл Леонардо Ди Каприо в фильме "Человек в железной маске"?|Людовика XIV
Какого художника считают главой венецианской школы Высокого и Позднего Возрождения?|Тициан
Какого штата в США не существует: Восточная Виргиния или Западная Виргиния?|Восточная Виргиния
Какое ближневосточное государство имеет общую границу с Саудовской Аравией: Иран или Ирак?|Ирак
Какое государство Центральной Америки до обретения независимости называлось Британским Гондурасом?|Белиз
Какое животное иначе называют кугуар?|Пума
Какое название до 1921 года носил город Алма-Ата?|Верный
Какое название носил известный испанский военный флот, потерпевший поражение в Гравелинском сражении?|Непобедимая Армада
Какое название носит древняя система физических упражнений в Индии?|Йога
Какое название носит парламент в Литве, Латвии и Польше?|Сейм
Какое однолетнее масляничное растение прославило художника Ван Гога?|Подсолнух
Какое прозвище было у русского царя Ивана IV?|Грозный
Какое растение относится к классу однодольных: лук или шпинат?|Лук
Какое слово является боевым кличем пехотных войск?|Ура
Какое число древние римляне записывали буквой M?|1000
Какой бог в славяно-русской мифологии был покровителем домашних животных: Хорс или Велес?|Велес
Какой вал с 1806 года стал юридической границей Москвы?|Камер-Коллежский
Какой вид лебедя существует: шипун или ворчун?|Шипун
Какой витамин также известен под названием "кальциферол"?|D
Какой город был основан 27 мая 1703 года?|Санкт-Петербург
Какой город представляет футбольный клуб "Ротор"?|Волгоград
Какой город является столицей Ирландии?|Дублин
Какой город является столицей Татарстана?|Казань
Какой город-миллионник в советский период именовался Куйбышев?|Самара
Какой государственный пост некогда занимал герой стихотворения Маршака Мистер Твистер?|Министр
Какой дворянский титул был у Донасьена Альфонса Франсуа де Сада?|Маркиз
Какой день недели древние римляне считали днем Луны?|Понедельник
Какой драгоценный камень является разновидностью минералов циркона: гиацинт или гелиодор?|Гиацинт
Какой духовой музыкальный инструмент имеет двойную трость: кларнет или гобой?|Гобой
Какой духовой музыкальный инструмент появился в результате усовершенствования охотничьего рога?|Валторна
Какой заполярный город является центром крупнейшей в России изолированной железной дороги?|Норильск
Какой из духовых музыкальных инструментов - деревянный: валторна или гобой?|Гобой
Какой из материков также является и страной?|Австралия
Какой из этих международных размеров одежды меньше: S или XL?|S
Какой из этих мультипликационных псов умеет разговаривать: Гуфи или Плуто?|Гуфи
Какой известный российский государственный деятель является автором текста гимна МГИМО?|Лавров
Какой календарь печатается на бумаге большего формата: отрывной или перекидной?|Перекидной
Какой канал соединяет Тихий и Атлантический океаны: Суэцкий или Панамский?|Панамский
Какой композитор является автором симфонии "Так говорил Заратустра", звучащей в начале игр "Что? Где? Когда?" ?|Рихард Штраус
Какой космонавт первым вышел в открытый космос?|Алексей Леонов
Какой месяц был однозначным лидером по продолжительности во время действия закона о летнем времени?|Октябрь
Какой напиток англичане традиционно пьют в пять часов пополудни?|Чай
Какой образ прославил Клару Новикову: тети Сони или бабы Клавы?|Тети Сони
Какой остров, открытый Христофором Колумбом в 1492 году, был назван им Эспаньолой?|Гаити
Какой отравленный фрукт дала колдунья Белоснежке?|Яблоко
Какой падеж имени существительного в русском языке отвечает на вопросы "о ком?", "о чем?" ?|Предложный
Какой по счету закон Ньютона связывает силу, массу и ускорение?|Второй
Какой политик 31 декабря 1999 года заявил об уходе в отставку?|Борис Ельцин
Какой поэт написал поэму "Братская ГЭС"?|Евтушенко
Какой поэт после своей женитьбы породнился с Дмитрием Менделеевым?|Александр Блок
Какой российский телеведущий является зятем писателя-сатирика Виктора Коклюшкина?|Соловьев
Какой русский композитор был главой "Могучей кучки"?|Балакирев
Какой советский балетный танцор в 80-х гг. стал директором балетной труппы "Гранд Опера" в Париже?|Нуриев
Какой степенью двойки является число 256?|Восьмой
Какой стране принадлежит остров Гуам, находящийся в западной части Тихого океана?|США
Какой химический элемент имеет символ Sn?|Олово
Какой художник написал знаменитый портрет Федора Шаляпина в шубе?|Кустодиев
Какой художник написал картину "Утро стрелецкой казни"?|Суриков
Какой цвет имеет красящее вещество, добываемое из тела насекомых кошениль?|Красный
Какой цвет отсутствует на флаге Германии: черный или синий?|Синий
Какой шахматист получил 1-е место в так и не доигранном из-за Первой мировой войны Мангеймском турнире?|Алехин
Какой японский город принимал зимнюю Олимпиаду в 1998 году?|Нагано
Какому времени года соответствует 2-й месяц французского республиканского календаря брюмер?|Осень
Какую букву русского алфавита в украинском языке заменяет апостроф?|Ъ
Какую крупнейшую обувную компанию назвали в честь южноафриканской быстроногой антилопы с острыми рогами?|Reebok
Какую монетку достаточно было бросить для разговора в московский телефон-автомат в 80-х?|2 копейки
Какую покерную комбинацию из 2 карт называют "Анна Курникова", так как она красиво выглядит, но редко выигрывает?|Туз + король
Какую рыбу иногда называют морская щука?|Барракуда
Какую форму имел летательный аппарат, на котором летали герои романа Алексея Толстого "Аэлита"?|Яйца
Капибара - это животное или растение?|Животное
Капитаном какой футбольной команды много лет был Игорь Нетто?|Спартак
Кем приходился Чингисхану хан Батый?|Внуком
Кем, по мнению Суворова, всегда желает стать хороший солдат?|Генералом  
Клавиша с какой цифрой находится в центре цифрового блока клавиатуры?|5  
Кларнет - это струнный или духовой музыкальный инструмент?|Духовой  
Кого боится человек, страдающий арахнофобией: пауков или змей?|Пауков  
Кого в "Книге джунглей" Киплинга звали бандерлогами: собак или обезьян?|Обезьян  
Количество озер в какой стране превышает их количество во всех других странах вместе взятых: в России или в Канаде?|Канада  
Кто был отцом российского императора Александра II?|Николай I  
Кто в "Золотом теленке" считал большинство окружающих "жалкими и ничтожными людьми": Балаганов или Паниковский?|Паниковский  
Кто возглавлял российское правительство раньше: Черномырдин или Касьянов?|Черномырдин  
Кто из английских правителей в 1841 г. издал декрет о праздновании Нового года с разукрашенной елкой?|Королева Виктория  
Кто из диктаторов родился раньше: Муссолини или Сталин?|Сталин  
Кто из патриархов Московских и всея Руси занимал престол дольше всех в истории?|Алексий I  
Кто из советских руководителей в 1980-е года начал перестройку?|Михаил Горбачев  
Кто из этих русских классиков преумножил свое состояние, играя в карты?|Николай Некрасов  
Кто из якобинцев пал от руки убийцы, а не был казнен, как остальные: Марат или Робеспьер?|Марат  
Кто написал сказку о рыбаке и рыбке?|Пушкин  
Кто является автором оперы "Женитьба Фигаро"?|Моцарт  
Кто является автором сборника "Сказки матушки Гусыни"?|Шарль Перро  
Куда отправил письмо Ванька Жуков, герой одного из рассказов Антона Чехова?|На деревню дедушке  
Лидером какой музыкальной группы является Мик Джаггер?|Роллинг Стоунз  
Лидером какой страны долгие годы был Фидель Кастро?|Куба  
Личным представителем кого в той или иной стране мира является легат?|Папы Римского  
Люди какой профессии предсказывают погоду?|Синоптики  
Люстры какой станции московского метрополитена выполнены в форме атомов и молекул?|Менделеевская  
Могилу какого средневекового завоевателя советские ученые вскрыли за день до начала ВОВ, что впоследствии сочли проклятием?|Тамерлана  
Модерато - это быстрый или умеренный темп игры музыкального произведения?|Умеренный  
Московским морем называют Истринское или Иваньковское водохранилище?|Иваньковское  
Музыкальный термин "стаккато" обозначает плавную или отрывистую игру?|Отрывистую  
На большинстве банкнот какого непризнанного государства до 1997 года был изображен Александр Суворов?|Приднестровья  
На какой диск можно записать наибольшее количество данных: на CD-RW или DVD-RW?|DVD-RW  
На какой православный праздник на Руси принято печь куличи?|На Пасху  
На какой реке стоит город Рим?|Тибр  
На каком сооружении принято вручать награды победителям спортивных состязаний?|Пьедестал  
На каком топливе летал Карлсон?|Варенье  
На Олимпиаде в 1992 году выступала сборная СССР или сборная СНГ?|СНГ  
На территории какого района Москвы находится выставочный центр?|Останкино  
На территории какого федерального округа России находился город Сарай-Берке, столица Золотой Орды?|Южного  
На территории какой современной страны был убит мореплаватель Джеймс Кук?|США  
На флаге какого субъекта РФ изображен сам этот субъект, окруженный фоном цвета морской волны?|Сахалинская область  
На чем летал барон Мюнхгаузен: на метле или на ядре?|На ядре  
Название какого овоща происходит от греческого слова "незрелый"?|Огурец  
Назовите автора антиутопии "451 градус по Фаренгейту".|Рэй Бредбери  
Назовите автора пьесы "Живой труп".|Лев Толстой  
Назовите автора симфонической сказки "Петя и волк".|Прокофьев  
Назовите единственное животное из семейства кошачьих, у которого когти не убираются.|Гепард  
Назовите единственный из знаков зодиака, не представленный живым существом.|Весы  
Назовите единственный орден царской России, предназначенный для награждения "особ женского пола".|Святой Екатерины
Назовите и крупнейший город Шри-Ланки, и фамилию лейтенанта из известного американского сериала.|Коломбо  
Назовите имя актрисы, сыгравшей Шурочку Азарову в фильме "Гусарская баллада".|Лариса Голубкина  
Назовите имя бывшей жены Президента России В.В. Путина.|Людмила  
Назовите имя девушки, о которой пели стрельцы в фильме "Иван Васильевич меняет профессию".|Маруся  
Назовите имя и отчество Чацкого из романа "Горе от ума".|Александр Андреевич  
Назовите имя и отчество Чичикова из романа "Мертвые души".|Павел Иванович  
Назовите имя королевича из "Сказки о мертвой царевне и о семи богатырях".|Елисей  
Назовите количество дюймов в одном ярде.|36  
Назовите количество канонических подвигов Геракла.|12  
Назовите настоящее имя капитан-командора российского флота Беринга.|Витус  
Назовите новое направление в гастрономии, пропагандирующее идею, что условия приготовления еды приоритенее времени.|Молекулярная кухня  
Назовите остров, на котором располагается крупнейшая военно-морская база США Перл-Харбор.|Гавайи  
Назовите писателя, придумавшего Винни-Пуха.|Александр Милн  
Назовите профессию Анки - героини анекдотов про Чапаева.|Пулеметчица  
Назовите профессию Марка Шагала.|Художник  
Назовите роман Достоевского, написанный в 1845 году и представляющий собой переписку между мужчиной и женщиной.|Бедные люди  
Назовите российского монарха, который отменил ранее действовавший закон о запрете проституции.|Николай I  
Назовите самую южную столицу государства в континентальной Европе.|Афины  
Назовите самый большой остров Земли.|Гренландия  
Назовите самый северный полуостров Сибири.|Таймыр  
Назовите славянский синоним слова "алфавит".|Азбука  
Назовите созданный в 2006 году сервис микроблоггинга, позволяющий публиковать сообщения длиной до 140 символов.|Твиттер  
Назовите страну, в которой впервые появился омнибус.|Франция  
Назовите третью по населению страну Азии.|Индонезия  
Назовите улицу в Париже, на которой братья Люмьер показали публике свои первые в мире фильмы.|Бульвар Капуцинок  
Назовите фамилию одноглазого оберштурмбаннфюрера СС из фильма "17 мгновений весны", которого сыграл Куравлев.|Айсман  
Назовите фамилию польского астронома, автора гелиоцентрической системы мира.|Коперник  
Назовите фамилию свергнутого в январе 2001 г. президента Филиппин.|Эстрада  
Назовите фамилию Сонечки из романа Федора Достоевского "Преступление и наказание".|Мармеладова  
Назовите форму государственного устройства Сан-Марино: республика или княжество?|Республика  
Назовите число, которое записывается тремя латинскими буквами X.|30  
Национальным блюдом какой страны является паэлья?|Испании  
Несколько десятков граммов косточек какого плода могут привести к смертельному отравлению человека: апельсина или яблока?|Яблока  
Озябнуть - это синоним слова "замерзнуть" или "согреться"?|Замерзнуть  
Олимпиада в Москве проходила в год обезьяны или в год петуха?|В год обезьяны  
Откуда звонил слон в стихотворении Корнея Ивановича Чуковского?|От верблюда  
Питон - это ядовитая или не ядовитая змея?|Не ядовитая  
По чьему предложению в 1910 году было принято решение о праздновании Международного женского дня?|Клары Цеткин  
Под каким общим псевдонимом выступали Алексей Толстой и братья Жемчужниковы?|Козьма Прутков  
Полярная звезда находится в созвездии Малой или Большой медведицы?|Малой Медведицы  
При каком правителе к России была присоединена территория Финляндии?|При Александре I  
При каком президенте в США была гражданская война и произошла отмена рабства?|При Линкольне  
Продолжительность какого затмения больше: полного солнечного или лунного?|Лунного  
Прототипом какого русского былинного богатыря считают преподобного Илью Печерского, причисленного к лику святых?|Ильи Муромца  
Расшифруйте аббревиатуру МИГ - марки отечественных самолетов.|Микоян и Гуревич
Родом из какой бывшей Союзной республики актриса и телеведущая Ингеборга Дапкунайте?|Из Литовской  
Родственным какому африканскому животному является альпака, обитающая в Южной Америке?|Верблюду  
Руководителем какой страны бывшего социалистического лагеря был Янош Кадар?|Венгрия  
Ряд с каким номером отсутствует в самолетах некоторых европейских авиакомпаний?|13  
С каким овощем сравнивают человека, который хорошо выглядит?|Огурчик  
С каким хлебобулочным изделием пили чай букашки на именинах у Мухи-Цокотухи?|С крендельком  
С какой стороны, согласно нормам этикета, должен подходить к клиенту официант?|С правой  
Силой какого животного измеряют мощность автомобильного двигателя?|Лошадь  
